gene_name,logFC,P.Value,,,,
ZBTB12,-4.18179053,0.470406467,,,,
YBX2P2,0.625393029,0.784183777,,,,
ARHGAP19-SLIT1,0.324215947,0.878054558,,,,
PLB1,-0.612023868,0.216920759,,,,
CFC1,0.952810757,0.655332294,,,,
SOX3,1.182144829,0.299138794,,,,
MAP3K21,-0.489489487,0.116846093,,,,
LEFTY1,0.692549445,0.75932076,,,,
CNTN3,-0.442982455,0.136592536,,,,
TCHH,1.070854204,0.384886175,,,,
FOXD4L5,-0.658663037,0.440590274,,,,
CCDC77,0.432181935,0.123374521,,,,
RNF19B,0.426681254,0.062078585,,,,
IZUMO2,-0.705841703,0.606979261,,,,
,1.814617553,0.442365533,,,,
GAS2L2,0.303132551,0.851245489,,,,
CLEC4A,0.750758358,0.304360077,,,,
ZNRF2P2,0.934854818,0.361237546,,,,
ZNF878,-0.972562737,0.463797476,,,,
CCDC138,-0.543891972,0.189717078,,,,
RPL22,0.245595608,0.046699592,,,,
C6orf118,-0.203894588,0.891279847,,,,
GOLT1B,0.299346714,0.050658278,,,,
DNHD1,0.513427094,0.106398759,,,,
FOXN4,0.099039267,0.949395592,,,,
ZBTB22,1.053460153,0.096949155,,,,
DNAJC19P5,-0.749479278,0.456317482,,,,
PRCD,-0.565306485,0.255802296,,,,
SCRT2,-0.123327639,0.952135605,,,,
PCDHA8,0.992562138,0.328117421,,,,
PSMA2,0.304647929,0.05453771,,,,
SMPD1,0.271273663,0.051084061,,,,
TCAP,-0.71502067,0.280219923,,,,
ZNF134,-0.299441395,0.064814624,,,,
,-0.645415012,0.671180004,,,,
,0.881573254,0.772560345,,,,
SKA3,1.10209583,0.352085298,,,,
SAPCD1,-1.365266401,0.751228838,,,,
DSTYK,0.296235294,0.057935018,,,,
GSDME,-0.393412661,0.06400964,,,,
,-2.157539469,0.584090033,,,,
COL28A1,-0.976564789,0.404035132,,,,
OR1M1,-0.767823672,0.446330629,,,,
IRX1,0.722697475,0.599550624,,,,
FRG1CP,0.388360642,0.095685544,,,,
HOMER3,-0.315297117,0.075440229,,,,
KCNH4,-0.334540065,0.836499155,,,,
TPTE2P1,0.307480724,0.829990447,,,,
,-0.51627745,0.746671169,,,,
KIF19,0.644444247,0.410785691,,,,
RASA4CP,-0.747752598,0.525230187,,,,
ITGA7,-0.367309228,0.047724452,,,,
,0.443638575,0.178628782,,,,
ACP5,0.082594145,0.958341676,,,,
KHSRP,0.234814399,0.048381156,,,,
AP4M1,0.391425373,0.0897862,,,,
GUSBP15,-1.715981501,0.484641122,,,,
ERF,0.36169505,0.052454916,,,,
HTR1E,0.356617646,0.821646147,,,,
GPM6B,0.731620727,0.059315423,,,,
MICB,0.131605518,0.939903104,,,,
SLAMF7,-0.852220448,0.397099055,,,,
RPL23AP87,-0.885071574,0.438763242,,,,
LY75,-0.664974785,0.643791968,,,,
MYLK2,0.002180643,0.998901076,,,,
IPCEF1,0.637275098,0.578818969,,,,
H4-16,0.575172491,0.171551788,,,,
PCP4L1,0.814498432,0.414479988,,,,
RPSAP70,0.082026056,0.952458984,,,,
MMP15,0.438312341,0.049035977,,,,
ZNF781,-0.645886524,0.437974151,,,,
ACRV1,-0.591159545,0.608789628,,,,
ARAF,0.301234001,0.059133121,,,,
VPS37D,0.590792341,0.139813715,,,,
PDCD2,0.371399121,0.066209743,,,,
WASHC2C,0.427244942,0.058424192,,,,
HES7,-0.861335278,0.255374067,,,,
PRR5-ARHGAP8,1.324248637,0.432590053,,,,
H2AC11,-0.615141332,0.403933714,,,,
NOL9,0.348099668,0.08167797,,,,
IFNWP19,-0.551983954,0.193881177,,,,
GAL,0.940281777,0.077825985,,,,
KRT8P46,0.980618325,0.393945006,,,,
ZNF385C,-0.875262905,0.303075986,,,,
TMEM200B,1.054963905,0.100249568,,,,
THSD7B,-0.95018033,0.223640828,,,,
,-0.818607984,0.791953698,,,,
POU6F1,0.523562686,0.127672928,,,,
ARHGEF33,0.643057626,0.349330514,,,,
GCNT3,0.915057066,0.482955936,,,,
,0.678335581,0.627067291,,,,
NAALADL1,0.710334597,0.637664213,,,,
IZUMO1,-0.901234162,0.479904125,,,,
TEKT2,0.660628891,0.422820097,,,,
UTP20,0.666476542,0.071887232,,,,
C1orf43,0.22980006,0.050387354,,,,
CFAP46,0.713244047,0.211456858,,,,
GZMM,-0.827584366,0.480359318,,,,
OR7D2,-0.774158462,0.499053271,,,,
ZNF603P,-0.073439127,0.951468755,,,,
MKKS,1.485170869,0.542156718,,,,
RBFOX2,-0.303542874,0.04830823,,,,
RAB11FIP4,-0.369478396,0.088891361,,,,
MYCBP,0.450818588,0.094722564,,,,
SLC47A2,0.615933383,0.450781878,,,,
RASGRP1,0.392997069,0.138808508,,,,
ADAM29,-0.513693482,0.721491927,,,,
,0.700005352,0.226716985,,,,
AVPR1A,-0.911575708,0.544957246,,,,
GRIN2D,-0.802116649,0.09129013,,,,
FAM218BP,-0.190377616,0.887853037,,,,
POM121B,-0.788393079,0.490374064,,,,
SCRT1,0.603336992,0.696609461,,,,
,-0.766930758,0.539427542,,,,
MMADHC,0.277861517,0.054156106,,,,
,0.402396382,0.125362022,,,,
DLGAP2,1.149711424,0.632897069,,,,
HNRNPA3P6,1.377719406,0.550830851,,,,
KRT15,-0.951752088,0.297889784,,,,
TMEM63A,0.314458932,0.05629237,,,,
PPP1R17,-0.202310168,0.91051619,,,,
HYAL4,-0.616475827,0.669424221,,,,
PPM1E,-0.629478916,0.216141467,,,,
PSG9,0.951225201,0.452190204,,,,
,0.598737622,0.514635554,,,,
INTS10,0.236698317,0.059838713,,,,
IYD,-0.77657741,0.465093055,,,,
VEGFB,0.282274492,0.060074667,,,,
,-1.914613174,0.419514267,,,,
DDX11L2,-0.812594922,0.377787166,,,,
NETO1,-0.931998267,0.323002015,,,,
ABCG8,0.622647456,0.404174496,,,,
LCN1,0.984558034,0.261972885,,,,
MMP8,-0.72115672,0.398162981,,,,
PLEKHG5,-0.285771122,0.056651996,,,,
,-0.419344471,0.725962867,,,,
C2orf80,0.098355232,0.959912804,,,,
PER2,0.432259907,0.121018276,,,,
DIP2C,0.430328409,0.051400337,,,,
SETD9,0.479952781,0.177479059,,,,
IGSF6,-0.648499797,0.405068354,,,,
MAGOH2P,-0.668618564,0.593532296,,,,
,-0.468921379,0.114842158,,,,
,-1.639500264,0.534906757,,,,
LGR6,-0.800024307,0.579572328,,,,
STIL,0.446599286,0.13731749,,,,
LBP,-0.706678344,0.306934777,,,,
UAP1L1,0.544743172,0.072828182,,,,
MMAB,0.351340288,0.098449137,,,,
TDRD12,0.634574935,0.529961642,,,,
HOXB6,0.100959115,0.950696237,,,,
PPP2R2B,0.581299867,0.156916048,,,,
BBLN,0.427172474,0.069446701,,,,
,0.85077631,0.368696931,,,,
DPY30,0.351126205,0.074890539,,,,
,-0.617015504,0.301051601,,,,
SCARB2,0.259271734,0.046214709,,,,
OLFM3,-1.411364915,0.277035882,,,,
EFHC2,0.92973663,0.342423462,,,,
PDZD9,0.272891252,0.839845047,,,,
HSP90B2P,0.176987225,0.89835486,,,,
,0.852574228,0.659541078,,,,
MECP2,0.25867824,0.053260349,,,,
TMEM25,-0.300605459,0.066182699,,,,
RPS20P33,-0.807009319,0.542360125,,,,
HS3ST5,0.707978063,0.243275567,,,,
RIIAD1,-0.448158064,0.766542878,,,,
AAR2,0.346088264,0.066413954,,,,
CBLC,0.990756062,0.490968604,,,,
MSANTD1,-0.848971456,0.374303881,,,,
SHISA6,-0.951132893,0.605810566,,,,
SWI5,0.294060214,0.074174026,,,,
MS4A4A,0.660415454,0.439183951,,,,
MFSD4A,-0.821394665,0.254893641,,,,
PPM1G,0.267680569,0.052958873,,,,
LHFPL3,-0.272684576,0.862009801,,,,
EEF1AKMT2,-0.412502947,0.102275758,,,,
TUBA1B,0.481301161,0.047959457,,,,
SEC14L4,-0.848569601,0.355902589,,,,
ZNF572,-0.911674182,0.428978745,,,,
OR7A17,-0.741309778,0.531044673,,,,
SPIB,0.865807961,0.412097709,,,,
GLT1D1,1.124051047,0.390432329,,,,
NSL1,0.345173716,0.080747658,,,,
ANK3,-0.636219851,0.083029868,,,,
CCT7,0.351209659,0.049024748,,,,
C3orf49,1.072841597,0.530118068,,,,
FUOM,0.644315602,0.125367845,,,,
ANGPT4,0.776224491,0.558893523,,,,
CHRNA10,0.837109905,0.361636185,,,,
CENPVL1,-0.136123589,0.917151666,,,,
CENPVL2,-0.136123589,0.917151666,,,,
LRFN5,1.086779762,0.298493953,,,,
,0.909820863,0.423184633,,,,
ATP5F1B,0.253491442,0.047308697,,,,
SCYL2,0.292978372,0.054562672,,,,
C5orf63,0.441902334,0.731093457,,,,
LIPE,0.527541932,0.165174523,,,,
PDXDC1,-0.382882314,0.054600753,,,,
SPC25,-0.886064014,0.755886051,,,,
PPP4R1L,-0.579220366,0.17202731,,,,
TERF2IP,0.2600218,0.053871722,,,,
CBR4,0.338387461,0.076075636,,,,
LRFN4,-0.514595737,0.075163897,,,,
CDC25C,0.860949263,0.347365208,,,,
RPRML,0.060542253,0.972491585,,,,
TLX1,0.215277408,0.869964075,,,,
SYT6,0.531420221,0.705120496,,,,
HOXD9,0.745776357,0.609218692,,,,
ZNF609,0.25069985,0.051511445,,,,
ZRANB3,-0.437672867,0.155062905,,,,
TBP,0.367578951,0.091912566,,,,
NUGGC,0.785112666,0.389764961,,,,
CYP2A6,0.727060012,0.619491354,,,,
CASP4,-0.670295227,0.513645371,,,,
RIMBP3,1.090273677,0.317698434,,,,
HOXB3,1.151053294,0.173023734,,,,
PRMT8,-0.543041535,0.834759903,,,,
RAB28P5,-0.696715507,0.444382214,,,,
IRF5,-0.6521165,0.299996636,,,,
TBRG1,-0.274612231,0.064821301,,,,
ABCC10,-0.330332481,0.070626638,,,,
ZFR2,-0.525398691,0.144642332,,,,
CKS2,0.605866465,0.17905655,,,,
,0.691644214,0.494205572,,,,
OARD1,-0.338571483,0.094363398,,,,
OR10K1,0.588150264,0.630015677,,,,
PYHIN1,0.706304822,0.598523459,,,,
TACR3,-0.178900247,0.876725191,,,,
NIPA1,-0.39855066,0.060405901,,,,
HOPX,0.682245528,0.335460262,,,,
LRRC37BP1,0.597404061,0.232099907,,,,
SERPINB1,0.559167286,0.164511358,,,,
TSPEAR,-0.897256144,0.460287581,,,,
IFIT3,-1.616333974,0.163247264,,,,
SPAG17,-0.882662845,0.432613637,,,,
CALM2P2,-0.490223532,0.312319731,,,,
ASCL1,-1.213621011,0.598436364,,,,
C1S,-0.347757479,0.056514075,,,,
SLC35E1P1,0.526654709,0.6729798,,,,
FOXO3,0.242050326,0.052916007,,,,
CLPX,0.291343834,0.060099876,,,,
ZNF969P,-0.045524564,0.971877492,,,,
FSBP,-0.403843273,0.113461718,,,,
,-0.810888629,0.637982484,,,,
FAM133A,-0.6810557,0.646780018,,,,
BMP3,0.249105385,0.851336633,,,,
VWA5B1,0.576844927,0.531418132,,,,
ZACN,-2.895751112,0.36040252,,,,
TBC1D3D,-0.119035037,0.951369895,,,,
DIO3,-0.781197836,0.266099852,,,,
ARHGAP30,-0.70321652,0.264746649,,,,
SLC32A1,0.736410897,0.698444203,,,,
TM9SF5P,0.051287701,0.97490082,,,,
ORMDL2,0.432911185,0.080085311,,,,
,-0.682598597,0.566495207,,,,
RPP40,-0.686457193,0.190452096,,,,
CLEC2L,-0.082247406,0.957029333,,,,
TTLL13,-0.930929509,0.554167805,,,,
,0.720782188,0.31595683,,,,
BUB1B,0.707012998,0.196606444,,,,
ZNF658B,-0.678252899,0.310004621,,,,
SIGLEC10,-0.6344648,0.302115198,,,,
HOMEZ,0.347744771,0.085631909,,,,
FGF8,0.040826409,0.975600608,,,,
ANKAR,0.55065007,0.23649779,,,,
NCL,0.31880797,0.047745366,,,,
COL17A1,-0.74894542,0.090131509,,,,
POTEB3,0.54273044,0.723923243,,,,
,-0.463353395,0.672044712,,,,
B3GALT5,0.603072742,0.142665637,,,,
IL34,0.109332765,0.936569069,,,,
ZNF160,0.326855713,0.065787552,,,,
KRT23,1.306378501,0.486505085,,,,
ADH4,-0.561735798,0.645063938,,,,
DEPDC1,0.646633479,0.304236511,,,,
SLC15A3,0.944917018,0.377680216,,,,
EBI3,-0.77618815,0.201833562,,,,
A2MP1,0.123075266,0.925907773,,,,
KLRC4,0.958660172,0.687573543,,,,
MLXIPL,-0.629129886,0.217384209,,,,
MUCL1,0.655207087,0.607715567,,,,
,-0.575231623,0.174705196,,,,
LEMD2,0.309527323,0.053886742,,,,
DRC1,0.454933929,0.751037537,,,,
VPS29,0.277217033,0.066900355,,,,
,0.68627927,0.691108554,,,,
ZNF157,-0.664177208,0.481571649,,,,
BCL11A,0.435576395,0.108829208,,,,
NIT2,0.26724044,0.072850364,,,,
LECT2,-0.789794491,0.478639762,,,,
SUV39H2,-0.419542646,0.122513328,,,,
IRAK2,-0.488304811,0.163591053,,,,
TSPAN8,0.962510657,0.259385933,,,,
PDE4A,0.597648779,0.158856198,,,,
TMEM121B,-0.649211525,0.198819942,,,,
LINC01529,-0.193561302,0.866026207,,,,
ANGPTL6,0.696290042,0.378107008,,,,
ZNF138,0.705240836,0.169590141,,,,
ESCO1,0.451092393,0.097588254,,,,
HDHD5,0.343960899,0.072351922,,,,
CC2D2A,0.353485701,0.096880861,,,,
HOXA5,-0.655812331,0.174944993,,,,
ILDR1,0.028980694,0.986733406,,,,
ELAVL4,-1.198597575,0.568759686,,,,
MBD3,0.275469512,0.055998951,,,,
PPM1F,0.306994935,0.062667661,,,,
MARCHF10,0.401932256,0.796827903,,,,
PHLDB2,0.30134956,0.054473595,,,,
JOSD2,0.47102545,0.092702333,,,,
PIWIL2,-0.749579351,0.222922702,,,,
CGN,-0.712859556,0.117590077,,,,
TYSND1,0.385095855,0.093314879,,,,
TNRC18P1,-0.306917387,0.785300835,,,,
RFLNB,0.347085346,0.105171182,,,,
MEX3A,-0.37610264,0.057479603,,,,
TXNDC12,0.258896752,0.054004278,,,,
EEF1DP2,-0.380365094,0.765362814,,,,
ESR2,-0.58619259,0.308987633,,,,
BIK,0.878409577,0.527669355,,,,
KDM4A,0.275463,0.057273846,,,,
DQX1,-0.731601293,0.5951691,,,,
ADM5,0.680729,0.613091175,,,,
CFP,-0.531735439,0.345100375,,,,
TMPRSS9,-0.662135682,0.310907642,,,,
UBE2O,0.303689996,0.060031632,,,,
UBE2S,0.593565778,0.067782452,,,,
ANKRD30B,0.694492217,0.481448646,,,,
CBFB,0.349366173,0.057966731,,,,
,0.033406155,0.978910129,,,,
UBR7,0.502218793,0.085516347,,,,
TUBB3,-0.459029108,0.051919888,,,,
RALGAPA1P1,-0.793439692,0.409032572,,,,
MYO3A,0.210695965,0.877715966,,,,
EIF4HP2,-0.619463227,0.5380225,,,,
DSG3,0.143592419,0.915500539,,,,
CHGA,0.315602176,0.819059797,,,,
C6orf15,-0.794346271,0.748232588,,,,
ADH6,-0.796804289,0.5402651,,,,
ERLEC1P1,-0.096641665,0.942370974,,,,
AK8,-0.595482468,0.299005554,,,,
MUC15,0.248872528,0.880585087,,,,
SLC6A4,0.733407379,0.478465496,,,,
ACOT8,0.358358078,0.086687945,,,,
OR5AN1,-0.678036771,0.514443781,,,,
INSL4,-0.027177173,0.986268049,,,,
CCDC15,-0.563565406,0.257712845,,,,
PLIN1,0.721149781,0.377725079,,,,
FTCD,-0.723513907,0.375168702,,,,
BSPRY,0.687199466,0.193797279,,,,
HSD3BP5,0.253636209,0.870203129,,,,
BMS1P16,0.189428235,0.889855863,,,,
ECT2L,0.534179802,0.590087081,,,,
OR1I1,0.668450661,0.281052559,,,,
BTBD18,-0.344494623,0.792630726,,,,
RCE1,-0.46297056,0.109754131,,,,
FOXP3,0.518021073,0.590265636,,,,
EEFSEC,0.731361765,0.598836692,,,,
HECA,0.338816841,0.076904902,,,,
CTAGE3P,0.651262194,0.549147733,,,,
XKR8,0.278631421,0.073183221,,,,
SP5,-0.174892624,0.917316166,,,,
CEP78,0.308252038,0.08105209,,,,
RFPL2,0.690442431,0.446356673,,,,
MYOM2,-0.731122954,0.668723903,,,,
TSSK4,-0.461142119,0.227424383,,,,
RAB44,-0.77270152,0.458737832,,,,
FOXH1,-1.875746763,0.403878192,,,,
STARD4,-0.506955287,0.065758278,,,,
PTPN18,-0.332314092,0.099691176,,,,
BET1L,0.261008518,0.055657589,,,,
GRM2,-0.835424492,0.505701994,,,,
OCLNP1,0.816229834,0.632571305,,,,
SNX16,0.423820278,0.107731083,,,,
GPR27,-0.618082559,0.165450245,,,,
ALDOB,0.529659325,0.736439064,,,,
WDR93,-0.014028456,0.991044344,,,,
CFAP95,-0.801248435,0.706182489,,,,
NMU,0.313335271,0.86050496,,,,
APOLD1,0.515479675,0.173370975,,,,
DOCK2,0.71637952,0.332967372,,,,
TMEM241,0.394960358,0.140328716,,,,
NLRP10,-0.329969193,0.708868253,,,,
TIA1,0.388528847,0.055128402,,,,
MYB,-0.116753708,0.913038868,,,,
,-0.391380464,0.774619646,,,,
HES4,-1.553484499,0.129468183,,,,
DNAJC10,0.23220155,0.051359982,,,,
CFB,0.737444063,0.308307297,,,,
RUNDC3B,-0.760317789,0.28363993,,,,
CTAGE8,-1.141885705,0.654041446,,,,
GCSAML,0.542079272,0.336346588,,,,
RPS7,0.304680544,0.051051659,,,,
CD300E,0.490272791,0.678679594,,,,
FRMPD2,0.094750271,0.947255215,,,,
SLFN14,-0.571260473,0.532104301,,,,
TMEM9B,0.30427243,0.060650129,,,,
KLK7,-1.051725229,0.368575811,,,,
FIGNL2,0.597636674,0.13799677,,,,
RPSAP26,-0.044245414,0.984007041,,,,
EIF4H,0.268658686,0.049937762,,,,
,-0.865357716,0.520765438,,,,
SLPI,0.665041933,0.14741984,,,,
ZSCAN23,-0.4828645,0.157671282,,,,
PDSS1,-0.51745279,0.206661507,,,,
C11orf65,-0.72165448,0.416134056,,,,
ARMC10,0.379845452,0.080470398,,,,
ADAMTSL2,-0.883838372,0.389730897,,,,
,0.360451554,0.796656069,,,,
MKRN1,0.226242912,0.054745478,,,,
SMTNL1,-1.011344391,0.441420571,,,,
KLK10,0.69217405,0.265086046,,,,
SLC16A11,0.662125273,0.381880607,,,,
C11orf42,0.497811089,0.498417424,,,,
GRID2IP,-0.639503655,0.242452849,,,,
WDR46,-1.280228764,0.415013405,,,,
PLA2G4C,-0.604702059,0.210438042,,,,
AKAP6,-0.7174533,0.117740572,,,,
USP6,-0.466907746,0.190052606,,,,
MGAM,0.480970927,0.859127304,,,,
PSMG4,0.336938284,0.107055444,,,,
KIF6,0.699862981,0.313102581,,,,
ATG12,0.25512509,0.0607509,,,,
ZNF727,-0.49342524,0.607037061,,,,
PDPR2P,-0.528262856,0.197265888,,,,
GPBP1,0.293668809,0.057885037,,,,
MDN1,0.449290039,0.065051505,,,,
ENPP7P8,0.343321765,0.743281054,,,,
EMC9,0.414040387,0.158365404,,,,
BCL3,0.366927368,0.057294645,,,,
CCDC141,0.675451288,0.341863785,,,,
PHTF1,0.262043924,0.071456387,,,,
ARHGEF19,0.581438075,0.102923264,,,,
CENPU,-0.674180072,0.204007927,,,,
HPDL,0.773275396,0.46186363,,,,
FBXO43,0.479189531,0.725332319,,,,
ARHGAP29,0.552520382,0.055867963,,,,
ACP4,-0.331701253,0.788924937,,,,
KIF11,-0.52669895,0.175000797,,,,
CDH9,-0.477175507,0.637451405,,,,
DDX46,0.326757677,0.058829253,,,,
CCDC116,-0.655649034,0.636192427,,,,
RUVBL1,0.375120469,0.092375075,,,,
CHIC2,0.401404783,0.098643913,,,,
OR10H1,0.85783866,0.442437904,,,,
DENND2D,0.665096971,0.409257044,,,,
CCSAP,0.352833247,0.074221065,,,,
MMRN1,0.541325243,0.736896576,,,,
SUDS3,0.233385483,0.061269663,,,,
NR2C2AP,0.43331554,0.156842152,,,,
MT1F,-0.713567799,0.195724288,,,,
NANOS3,-0.451151502,0.617133125,,,,
SLC25A1P5,-0.570108662,0.225108051,,,,
MGAT4EP,0.570833818,0.643221112,,,,
ARL9,-0.749234154,0.536872318,,,,
CNTF,-0.696332559,0.397981448,,,,
ACP7,0.560636267,0.608664347,,,,
PHB1,0.464547985,0.057406926,,,,
HMSD,0.0922668,0.950260583,,,,
KCNB2,-0.120076033,0.941028068,,,,
CNOT11,0.263848465,0.06652436,,,,
IL32,-0.497698991,0.108263889,,,,
UROD,0.404064767,0.068033681,,,,
TGOLN2,0.210779953,0.050512582,,,,
RSPH10B,0.87574084,0.472654173,,,,
HSPA12B,-0.222843422,0.892400595,,,,
MUC3A,0.827443825,0.360793648,,,,
POU4F3,0.61354209,0.558144881,,,,
TRAPPC13,-0.347442244,0.091750305,,,,
TMEM236,0.575581796,0.436567772,,,,
EMC3-AS1,-0.716023885,0.563416117,,,,
LCA5,0.466538157,0.129026535,,,,
RAD9A,-0.378661061,0.115436222,,,,
DYDC2,-0.739884325,0.581640944,,,,
SSTR3,-0.151373374,0.901577461,,,,
RPGRIP1,0.606160997,0.559701669,,,,
,0.590774587,0.578547739,,,,
CCDC153,-0.757444735,0.414672028,,,,
TMEM74,-0.610235639,0.252537948,,,,
CKLF-CMTM1,0.776723527,0.457842864,,,,
IRGM,0.289743219,0.855021556,,,,
SLCO5A1,0.664540759,0.197108183,,,,
FAM27B,0.502202655,0.773404286,,,,
STPG3,-0.806356723,0.538345936,,,,
CPB2,-0.237541194,0.870596735,,,,
ADGRA3P1,0.717564123,0.475655759,,,,
SLC7A3,-0.092185487,0.938107705,,,,
ACTR2,0.216321722,0.050104004,,,,
PLAG1,0.341847549,0.079583471,,,,
URI1,0.229269822,0.063741071,,,,
DNAH2,-0.860536198,0.405802565,,,,
TUBGCP2,0.273635469,0.059839752,,,,
HCFC2,0.459557136,0.077926503,,,,
NPEPPSP1,0.339861396,0.888812572,,,,
HCK,-0.143173412,0.942341481,,,,
RBP7,0.695858356,0.499137186,,,,
WNT9A,-0.403945869,0.083177326,,,,
PTPN5,0.820854341,0.502518109,,,,
TTC41P,-0.51327744,0.458268676,,,,
PENK,0.772807903,0.064618183,,,,
MICU3,-0.547774268,0.13686386,,,,
C16orf89,0.993765279,0.311664475,,,,
RGS5,-1.233741137,0.160090731,,,,
FLT3,0.147169405,0.908328281,,,,
C2orf69,-0.43167211,0.101012067,,,,
C2CD6,0.701202401,0.499056414,,,,
CEP55,0.751068895,0.363069737,,,,
SWAP70,0.407314634,0.06591391,,,,
CCDC38,-0.50360545,0.626067135,,,,
TPTE2P5,-0.176409781,0.878270276,,,,
ARF5,0.254771776,0.059450538,,,,
VSTM5,-0.273940405,0.842265873,,,,
GPALPP1,-0.327971576,0.072200546,,,,
RGS6,-0.290891921,0.854765408,,,,
,0.232482478,0.852478486,,,,
WFDC11,0.495940568,0.661643731,,,,
STAC3,-0.50119961,0.305534244,,,,
,-0.317242221,0.772680208,,,,
PSMC6,0.30896735,0.062006309,,,,
MTNR1A,-0.679278284,0.47308068,,,,
CCM2L,0.676202005,0.543105382,,,,
ANKRD20A1,0.635412186,0.346747607,,,,
,-0.843041865,0.416625906,,,,
,-1.560133741,0.51014739,,,,
CRTC3,0.26802552,0.06623251,,,,
CYP2C8,-0.459915036,0.644672412,,,,
SH2D2A,0.807253744,0.460999553,,,,
,0.197654247,0.917026133,,,,
FGF14,0.622001676,0.544222961,,,,
LANCL1,0.274673297,0.057676301,,,,
RHEBP2,-0.634893661,0.786600425,,,,
SGTB,0.35159095,0.07475725,,,,
IL1B,-0.016342388,0.991705827,,,,
KRTAP5-2,-0.525773298,0.390027447,,,,
MUC12,0.438806401,0.750794047,,,,
MATK,-0.629812447,0.549011631,,,,
SMIM10L2B,0.478584736,0.119471467,,,,
LMX1A,-0.222531938,0.893511848,,,,
HASPIN,-0.528393961,0.488128142,,,,
ACE2,0.538928772,0.54198969,,,,
MTND6P21,-0.143286455,0.917122875,,,,
PLA2G4F,0.595085199,0.494717506,,,,
,0.623205318,0.438902669,,,,
CFAP107,0.310684184,0.800631256,,,,
,-1.121645796,0.663959088,,,,
RSPH10B2,-0.074389029,0.956019125,,,,
PSTPIP1,-0.419516296,0.731546522,,,,
MIOX,-0.761593912,0.455998456,,,,
SCNN1G,1.369992627,0.525154075,,,,
,-0.690320384,0.547906711,,,,
CKM,0.909907644,0.355296612,,,,
SLITRK2,0.796580773,0.157716632,,,,
MSTO1,0.287441175,0.077853625,,,,
DRD2,0.927350366,0.409962587,,,,
C16orf54,-0.42811082,0.654573169,,,,
NPIPA1,-0.26567313,0.061885136,,,,
BAG4,0.305242914,0.087476849,,,,
ZMYND10,0.767805144,0.366153339,,,,
,0.721857007,0.666107466,,,,
LY6H,0.061543708,0.986410123,,,,
SLC35A2,0.253117032,0.06310383,,,,
HSPA6,0.488403546,0.174943598,,,,
RILP,0.907793393,0.268601324,,,,
CFAP300,-0.223042526,0.823438324,,,,
PHACTR2P1,0.687890866,0.482275823,,,,
OR4D9,0.577748229,0.367360676,,,,
,0.694114457,0.71900456,,,,
ALDH8A1,0.778906116,0.547183858,,,,
SEMA6D,0.545376873,0.074489425,,,,
VENTX,-0.381873185,0.7866666,,,,
RPL7AP39,0.091646087,0.934957115,,,,
,-0.202114648,0.886734715,,,,
OR52K1,0.587162347,0.466919186,,,,
,0.02947879,0.982619886,,,,
COL12A1,0.810535658,0.040565199,,,,
CRHR1,-0.612498474,0.663982375,,,,
HTN1,-0.119401424,0.887628896,,,,
ZFPL1,0.341036693,0.073159411,,,,
FAM86B3P,0.569334785,0.755201704,,,,
CCDC160,-0.62915402,0.43658646,,,,
ANK1,-0.741367758,0.409596099,,,,
ETV7,-0.199901405,0.89453704,,,,
OPRK1,-0.846524573,0.408832733,,,,
ST3GAL6,0.455827037,0.108024119,,,,
ACTG1P1,0.022504534,0.984203334,,,,
RHOH,-0.149409761,0.880881179,,,,
CHADL,-0.784016203,0.446721089,,,,
,0.523166353,0.370988343,,,,
BDH1,0.614444781,0.27224573,,,,
GGT5,0.610065751,0.214051102,,,,
AQP4,0.375734971,0.761284362,,,,
SLK,0.447489623,0.065202424,,,,
TMEM125,0.816383067,0.476841392,,,,
RPP21,-1.274962192,0.376918779,,,,
OR2T12,-0.259221902,0.85306112,,,,
EEF1A1P13,0.77527957,0.390262335,,,,
ZNF681,-0.642537065,0.277158073,,,,
NRTN,0.706304554,0.373535949,,,,
PKD2L2,0.416287319,0.717952214,,,,
,-0.491479936,0.642200105,,,,
TRANK1,0.388245302,0.124418894,,,,
HDAC10,-0.53412614,0.110115217,,,,
GCNT7,-0.417935669,0.587004751,,,,
NFATC1,0.569131213,0.066939125,,,,
,-1.015371023,0.67873175,,,,
SPIN2B,0.515427913,0.150132979,,,,
DMC1,0.293623832,0.847194316,,,,
TTC1,0.278500574,0.064038713,,,,
TMCO1,0.285101806,0.056318227,,,,
TAT,-0.444639264,0.755345551,,,,
CDHR5,-0.101493642,0.935755421,,,,
TUNAR,0.724781913,0.424511911,,,,
KIAA0513,0.318427091,0.07528756,,,,
TM6SF1,0.636468062,0.5079803,,,,
,-0.638476833,0.684285989,,,,
PATE4,-0.412308759,0.755843199,,,,
LRGUK,-0.801220923,0.38787551,,,,
,-0.477863375,0.676695676,,,,
TIMP2,-0.380516341,0.051619704,,,,
TUBB6,0.477554069,0.056340129,,,,
PIPSL,-0.395183657,0.7558086,,,,
C1QTNF9B,-0.042106284,0.979903934,,,,
MYCN,-0.756034566,0.208721193,,,,
C4orf17,-0.36294826,0.776382911,,,,
EIF3L,0.247312061,0.053417089,,,,
C6orf52,-0.19681474,0.881610027,,,,
KLRC4-KLRK1,-0.566787783,0.74578446,,,,
WDR82,0.208761846,0.055503116,,,,
,-0.447884392,0.66144389,,,,
,1.121627166,0.690683778,,,,
EXOSC5,0.538662034,0.134787067,,,,
