gene_name,logFC,P.Value,,,,
HOXA11,-0.836000866,0.612606735,,,,
AKR1B10,-0.607984384,0.675116949,,,,
SMTN,-0.494276114,0.073674645,,,,
MED6,0.359938928,0.066460751,,,,
C16orf95,0.599030397,0.200426949,,,,
OR5AU1,-0.761412676,0.347773496,,,,
GAPVD1,0.229422268,0.051205203,,,,
PTPRE,-0.355715167,0.084335047,,,,
HTATIP2,0.752094906,0.169099496,,,,
PSMB7,0.352273469,0.049798638,,,,
ETAA1,0.501199875,0.092737837,,,,
F3,-0.56467615,0.096575935,,,,
RIMS4,-0.578770916,0.060321616,,,,
HYAL4,-0.636880317,0.673697486,,,,
RBL2,0.256445077,0.053417369,,,,
KLRC4-KLRK1,1.247056881,0.41461625,,,,
IRF6,1.280869915,0.221993457,,,,
,0.851809458,0.435938203,,,,
PCDHA13,-1.185527294,0.535556145,,,,
OR14L1P,-0.646188083,0.413292784,,,,
,1.409871092,0.618759499,,,,
CLDN20,-0.825520946,0.463916677,,,,
PCDHGB8P,0.988460143,0.480827629,,,,
LIPH,-0.959006609,0.307269248,,,,
KLHDC2,0.327735071,0.056022899,,,,
ETV2,0.711175805,0.447412121,,,,
STK25,-0.294278958,0.049324042,,,,
STON2,0.42992605,0.077745349,,,,
HGFAC,0.784453443,0.36110868,,,,
FBP1,0.520890205,0.637359665,,,,
CRELD2,0.327668918,0.068998023,,,,
ICE2,0.359654037,0.061516124,,,,
DUSP28,-0.468592399,0.141864792,,,,
OR6C75,-0.807244966,0.381270343,,,,
SESN3,0.624746701,0.048608952,,,,
LSP1,-0.749482587,0.477049468,,,,
MYOC,-0.360164906,0.74441088,,,,
SLAMF7,-0.634486234,0.652799126,,,,
CCDC92B,-0.60626562,0.128838416,,,,
ALDH1A2,0.743687789,0.391336187,,,,
OCLNP1,1.069825483,0.55056009,,,,
ERAP2,1.003990035,0.273092895,,,,
PTPRVP,0.659446788,0.516879816,,,,
VPS45,0.280250023,0.057087715,,,,
PSORS1C1,0.057667196,0.97104308,,,,
TMPRSS4,0.703051376,0.296953163,,,,
,1.586321467,0.540800447,,,,
RNA5SP118,0.669945073,0.686139268,,,,
TCN1,0.496598633,0.688209358,,,,
CPEB1,0.38420005,0.098533826,,,,
VWCE,-0.539556086,0.133829169,,,,
BMS1P16,0.676663371,0.614860523,,,,
LRRC56,-0.859711358,0.598448047,,,,
SHOC1,0.689588851,0.662613326,,,,
U2AF1L4,-0.46320435,0.143597596,,,,
CALD1,0.424232178,0.048435903,,,,
FRG2DP,0.385613218,0.775431012,,,,
NPEPPSP1,-0.74030626,0.142990572,,,,
NXNL2,-0.693355073,0.280208673,,,,
GPR142,0.601546671,0.564357335,,,,
ELF2P1,-0.812709982,0.465357054,,,,
PLK5,0.550204435,0.337651503,,,,
OR2A7,-0.439412423,0.828423558,,,,
CCL5,-0.784642638,0.56695883,,,,
EFHB,0.67841394,0.275463811,,,,
,-2.076681081,0.595075713,,,,
SAMD15,0.686168656,0.161462923,,,,
ST14,1.115982363,0.263158019,,,,
OR10H5,0.652443683,0.353958576,,,,
ASB12,0.815094747,0.520791834,,,,
CLDN16,-0.67317844,0.628580184,,,,
NFE2,0.697047374,0.524818686,,,,
ZMAT4,0.843270329,0.156678558,,,,
ENTPD8,-0.576642682,0.625887401,,,,
AMDHD1,-0.806172501,0.429106535,,,,
,1.100804622,0.309276882,,,,
DLG4,-0.469513294,0.04980057,,,,
HMGB1P6,0.456131896,0.071853,,,,
ZNF767P,-0.657552514,0.229580358,,,,
C16orf91,0.45907596,0.129063156,,,,
TMC7,-0.439577836,0.120728004,,,,
MADCAM1,0.946262242,0.321478265,,,,
RPS4XP5,0.568902821,0.438432956,,,,
HARS2,0.302745728,0.062347846,,,,
HOXC13,-0.177467559,0.896047587,,,,
COA7,-0.411361437,0.066729044,,,,
ADPRHL1,-0.499846297,0.208746312,,,,
FAM169B,0.752553539,0.490951894,,,,
RASL10A,-1.064852972,0.532434927,,,,
CCT7,0.368566768,0.046421927,,,,
,-0.467636409,0.159352848,,,,
VPS26C,0.301807033,0.057121071,,,,
CHRNA10,0.86889915,0.422908455,,,,
CHURC1,0.424767991,0.055573174,,,,
SPATS1,1.025201403,0.613125933,,,,
ANKRD13B,-0.497261695,0.071312943,,,,
SLC7A14,0.445645125,0.097551757,,,,
ZMYND15,-0.428372215,0.767667542,,,,
PRRG3,-1.052973935,0.225259241,,,,
GJB3,-0.711141453,0.684450737,,,,
,0.735341735,0.561440985,,,,
LHX3,-0.551041481,0.69245021,,,,
SAPCD1,-2.26738061,0.519427436,,,,
FLT3LG,0.706510486,0.420821076,,,,
,-0.437333829,0.873574283,,,,
IQANK1,0.641091221,0.258830355,,,,
RNA5SP187,-0.490449876,0.745820024,,,,
ACHE,-0.486347282,0.065130225,,,,
LRRC37A9P,-0.654778281,0.546484627,,,,
,-1.422674533,0.713721205,,,,
ATP2B4,0.491204904,0.047866548,,,,
,0.936177811,0.236023706,,,,
STMND1,-0.629529259,0.488977547,,,,
FAR2P2,-0.961384137,0.294607307,,,,
OTOF,0.366146072,0.750867572,,,,
CD300E,0.760191247,0.487365292,,,,
CCDC88A,0.660693296,0.05582396,,,,
PDCD5,0.295772259,0.064998911,,,,
MBNL2,0.382416261,0.066312513,,,,
SMIM3,0.860192575,0.158176352,,,,
GUSBP13,0.56252664,0.189153953,,,,
GSTA1,-0.923615191,0.480669723,,,,
TSR3,0.398021475,0.066862919,,,,
TRIM52,-0.353180499,0.064697465,,,,
ABCB11,1.004085735,0.549977239,,,,
F2RL3,0.668020997,0.243635908,,,,
HAL,-0.404279122,0.80427187,,,,
,1.992605932,0.412657545,,,,
RPL7AP76,0.723152091,0.354183447,,,,
NPM1P7,-1.259385653,0.433276473,,,,
TXK,-0.332326245,0.826269388,,,,
ILDR1,-0.33054934,0.856384666,,,,
CBLN2,-0.706548327,0.170613852,,,,
CDH17,0.719129257,0.572452461,,,,
MTCH1P2,0.645951495,0.381680262,,,,
,-0.427340353,0.812335771,,,,
AGR2,-0.315406778,0.827440227,,,,
PLPPR3,-0.775820073,0.053755586,,,,
,1.043914873,0.476221829,,,,
ZBP1,0.718295089,0.382132769,,,,
GRIK3,0.582295058,0.115956188,,,,
USH1C,-0.281917269,0.830380967,,,,
MARVELD3,0.818634245,0.228616318,,,,
OR2B11,0.611229878,0.452022979,,,,
RALYL,0.536166924,0.123280786,,,,
GAS8,0.489005307,0.085950204,,,,
CLDN7P1,-0.731613475,0.452393093,,,,
,-0.685812142,0.617134392,,,,
HAND1,-2.491814053,0.34288545,,,,
NABP2,0.362390733,0.064401294,,,,
MRPL9,0.369461174,0.064679622,,,,
,0.862412457,0.336359375,,,,
PLEK2,0.236492496,0.872469336,,,,
MPHOSPH9,0.382084163,0.072429985,,,,
VASN,5.294931007,0.303136503,,,,
CYP2W1,-0.73286966,0.459163586,,,,
,-0.825846142,0.421106738,,,,
TLNRD1,0.688600136,0.072548578,,,,
MRPL41,0.530876689,0.071753384,,,,
PCDHGA2,-0.8306359,0.350741608,,,,
SPPL2A,0.344228615,0.062770886,,,,
SAMD13,0.739469954,0.299469319,,,,
GOLGA8M,0.800340377,0.36071535,,,,
PLEKHN1,0.810726532,0.420837433,,,,
ZNF785,-0.328501605,0.072086167,,,,
SCAND2P,-0.589456347,0.272477129,,,,
LINC01529,0.656486957,0.475385424,,,,
PLD4,0.618971722,0.718069762,,,,
,-4.707748851,0.374087387,,,,
DYNAP,0.534645532,0.24599204,,,,
CEP126,0.599527787,0.121620375,,,,
SAA2,-0.868058216,0.546703732,,,,
PLAC1,0.618417143,0.701272982,,,,
CD248,0.957685201,0.210896439,,,,
HOXB6,-0.567782499,0.708053911,,,,
CD70,-0.697103554,0.51797794,,,,
ASCC2,0.320306125,0.059128605,,,,
MUC15,0.720187223,0.654273032,,,,
MST1R,-0.700647646,0.581262346,,,,
TRIP11,0.572494373,0.076600069,,,,
GADD45B,0.800448507,0.137094468,,,,
DPP6,-1.085206533,0.085018733,,,,
FAM86B1,0.46040453,0.098732846,,,,
ERLIN2,0.263893004,0.052881778,,,,
TSSK6,0.532121493,0.232126807,,,,
ZNF302,0.394986407,0.063507797,,,,
,1.092644995,0.395757835,,,,
LY75,-0.459106962,0.757376255,,,,
ZSCAN4,-0.204993209,0.894018538,,,,
LURAP1,-0.474299138,0.201839016,,,,
UBE2I,0.268567457,0.050122356,,,,
TM4SF19,1.041730304,0.542503692,,,,
BIK,1.012620859,0.313264182,,,,
CTNNBL1,0.530918846,0.061046026,,,,
CLDN12,0.319850578,0.056155644,,,,
KCNH3,-0.828838631,0.256979914,,,,
CTBP2P8,0.624987317,0.652013697,,,,
,2.593639506,0.503073214,,,,
FKBPL,-2.966343566,0.411555079,,,,
PLBD1,1.103721731,0.344705376,,,,
PCDHGA7,-1.121627313,0.388543863,,,,
PCDHB1,-0.549434116,0.246497079,,,,
,0.199363071,0.896306188,,,,
POLR2H,0.382487147,0.066946419,,,,
RGL1,0.299201778,0.062536552,,,,
CHRND,-0.718379235,0.594318501,,,,
,0.438755735,0.790770792,,,,
WDR81,0.527569939,0.089169823,,,,
RIPK3,-0.034528823,0.973341242,,,,
OR7D4,0.637380983,0.485529655,,,,
,-0.697131197,0.739138937,,,,
CA4,-0.749864134,0.683235166,,,,
CALR,0.494120879,0.045972796,,,,
TMC4,-0.889165133,0.692157471,,,,
PIP4K2B,-0.403861546,0.04982391,,,,
MUC19,-0.903315233,0.276412995,,,,
BEAN1,-0.79772511,0.136161988,,,,
WDR36,0.326884396,0.063949545,,,,
CIAO3,0.337702736,0.082066418,,,,
UPK1B,-0.924995309,0.562683428,,,,
ZMYND12,0.779632824,0.497718203,,,,
SCRT2,0.830457752,0.158054651,,,,
PROSER1,0.278988578,0.058515009,,,,
AOC3,0.598453534,0.251477032,,,,
TSTD1,0.85247541,0.176075389,,,,
PCDHGA8,0.742709915,0.21106414,,,,
TTC21B,0.39737295,0.064319596,,,,
AMZ2P1,0.493682575,0.192226155,,,,
TRIM16L,-0.552659058,0.173249455,,,,
FAM83H,5.068427212,0.27900085,,,,
RBP7,0.703763774,0.563915537,,,,
,-0.639452514,0.454364468,,,,
MYOZ1,0.853051537,0.493592376,,,,
SUDS3,0.242905605,0.054998195,,,,
,-0.614875394,0.548818558,,,,
LDHAP4,0.939399908,0.414316689,,,,
ABT1,0.409051404,0.074555661,,,,
SLC27A1,-0.397981991,0.077266553,,,,
NGEF,1.211449597,0.149788448,,,,
DBR1,0.458340205,0.085294141,,,,
NPIPA9,-0.537335792,0.058042468,,,,
POTEB3,0.81584934,0.555641159,,,,
,-0.792720163,0.527250091,,,,
MRPL37,0.261616538,0.058529236,,,,
IFNWP19,0.336063504,0.765839625,,,,
MBD6,0.353005819,0.068909921,,,,
TNFSF13B,-0.621012305,0.512791325,,,,
NPFFR2,1.023469021,0.449936029,,,,
FAM90A1,0.559659028,0.288332592,,,,
ARHGEF28,0.574186441,0.27794471,,,,
SPTBN5,0.842596098,0.299322947,,,,
DDIT4L,1.337226891,0.338470878,,,,
MCF2,-0.869564207,0.210717303,,,,
RPL4P6,-0.613765245,0.669158224,,,,
HDDC3,0.468551522,0.10948581,,,,
PDXDC1,-0.449116603,0.063793006,,,,
DBT,0.313770336,0.065356726,,,,
IRS2,0.41715567,0.060309783,,,,
RNF13,0.361205617,0.06249794,,,,
GADD45GIP1,0.500952212,0.067896869,,,,
LEAP2,-0.688608017,0.569253907,,,,
RABGEF1P2,-0.679803315,0.365234201,,,,
AIFM3,-0.814839287,0.401981072,,,,
LRRK2,0.699951016,0.252393097,,,,
PI4KAP1,-0.720992507,0.195717874,,,,
MRFAP1P1,-0.725804904,0.264740824,,,,
CYB561D1,-0.384148525,0.077284122,,,,
,-0.553527391,0.580805851,,,,
,-0.553527391,0.580805851,,,,
CEP170P1,-0.78815246,0.312279227,,,,
,1.080024011,0.38664377,,,,
RPL12P10,0.299270804,0.73211085,,,,
PANK1,0.483420618,0.087159176,,,,
ATF7-NPFF,0.648780871,0.847432699,,,,
HSD11B1,-0.327630026,0.794573721,,,,
LAMC3,0.975059993,0.269556923,,,,
STRCP1,0.937186349,0.3133328,,,,
MTMR6,-0.300452548,0.054991487,,,,
CTDNEP1,0.294803376,0.061809315,,,,
,-0.889568608,0.502716264,,,,
PPP4R2,0.29048721,0.054606096,,,,
,0.619031319,0.830662582,,,,
SURF1,0.361423803,0.103476203,,,,
ZNF85,0.668667465,0.156886227,,,,
TNNI3K,-1.028132726,0.48956905,,,,
H2BC12,-0.47639375,0.130254667,,,,
RPL17P50,-0.483782889,0.748915071,,,,
MRPS17P1,0.643735011,0.514782959,,,,
HTN1,-0.432779472,0.591808505,,,,
SLC28A3,0.221082653,0.865223214,,,,
APIP,0.348679233,0.090494393,,,,
CAB39L,-0.336389841,0.07070922,,,,
MICB,-0.033127147,0.983937726,,,,
SCARF1,0.67426799,0.858171838,,,,
PRODH,0.612867298,0.19560689,,,,
HLA-DPA1,0.255400027,0.865413641,,,,
NOL7,0.364207681,0.061151739,,,,
,0.527129286,0.53693706,,,,
SLC52A1,0.678468402,0.60775687,,,,
ANKRD29,-0.801755402,0.257433243,,,,
VIPR1,-0.750639651,0.400847373,,,,
ARSD,0.352468638,0.077553817,,,,
CRCP,-0.315610469,0.067614923,,,,
PRR14L,0.316241296,0.055983709,,,,
NPEPPSP1,-0.161106768,0.951430632,,,,
ABCA4,1.097381063,0.519497909,,,,
LDLRAD4,-0.499162275,0.089491628,,,,
TMED6,0.680672921,0.366417003,,,,
CAPN12,0.867745404,0.395646594,,,,
MPZL2,-0.917256387,0.325606879,,,,
NDST4,0.628940257,0.168763634,,,,
MARCHF10,0.822884075,0.536629331,,,,
RUBCNL,-0.663455321,0.20567343,,,,
BCL2A1,0.841174261,0.460853847,,,,
COX14,0.459598771,0.114834015,,,,
ILVBL,0.307708396,0.058587914,,,,
SLC4A7,-0.455351061,0.059281416,,,,
CSKMT,0.433643451,0.175786359,,,,
,0.812622,0.448673048,,,,
RANBP3,0.289804276,0.057292374,,,,
LYST,-0.742948422,0.072425669,,,,
EIF3M,0.310462026,0.051999863,,,,
PRKX,-0.365424948,0.059403859,,,,
EBI3,-0.831586745,0.542867551,,,,
ABHD5,0.371935642,0.085877346,,,,
CLEC18B,0.825582521,0.255245051,,,,
,-0.593972139,0.832035733,,,,
PAK1IP1,0.495724908,0.117198386,,,,
ZC3H12B,0.399573037,0.12270951,,,,
SCIMP,-0.580460049,0.232626335,,,,
ARL16,0.303049599,0.073870099,,,,
PPP1CA,0.276941421,0.053631132,,,,
DPY19L2P5,0.701044587,0.570164758,,,,
,0.667966304,0.644657215,,,,
COCH,0.548616717,0.099272783,,,,
,-0.483244469,0.598019633,,,,
DSG3,-0.282851519,0.834469397,,,,
KIAA1210,-0.530637746,0.715273826,,,,
,1.873936623,0.319547303,,,,
EPYC,0.501467657,0.857970081,,,,
GBP6,-0.584216318,0.658582136,,,,
TMEM17,0.445245216,0.149445036,,,,
ATP2A1,0.509720481,0.190512494,,,,
RFLNB,0.393425484,0.118062799,,,,
PRSS56,-1.131308965,0.315561313,,,,
CLEC19A,0.868937605,0.517340435,,,,
CMAHP,-0.077249992,0.959614256,,,,
ITIH4,0.833649642,0.281725037,,,,
AMER3,-0.652326145,0.151265803,,,,
SLC24A2,-0.617302686,0.186085651,,,,
C11orf52,0.444607899,0.732055351,,,,
KDM5C,0.243183506,0.050995738,,,,
PLAGL2,0.31787049,0.064331619,,,,
KRT18P59,0.880790067,0.405227286,,,,
,0.708297136,0.272946906,,,,
TRIM62,-0.382442603,0.076216993,,,,
CDHR5,-0.487373903,0.703180254,,,,
DRAP1,0.332172484,0.055395096,,,,
PEDS1-UBE2V1,-2.332906565,0.348625551,,,,
CDNF,0.699284655,0.31944031,,,,
RAB7B,0.701114747,0.378811246,,,,
NLRP3P1,-0.907940328,0.675193238,,,,
VWA5B1,0.625121413,0.319023311,,,,
AGBL2,0.861494089,0.600713619,,,,
LSM12,0.299447121,0.062037323,,,,
SEPTIN7P14,0.678383386,0.496060775,,,,
ANKMY2,0.259207292,0.062961473,,,,
AZU1,-0.581093821,0.454280799,,,,
GPR78,1.071136868,0.401775777,,,,
FAM162B,0.661308048,0.626539428,,,,
PIEZO1,0.852135925,0.092495084,,,,
ARHGAP40,0.347128743,0.789166287,,,,
ESPN,0.672853632,0.37088411,,,,
RYK,0.290033763,0.058505681,,,,
FER1L6,-0.622024345,0.557613182,,,,
MKKS,1.384113733,0.542965444,,,,
,0.727213626,0.575078893,,,,
AMPH,-0.402467612,0.065262231,,,,
RFPL3,-0.739177206,0.413491051,,,,
CXCL6,-0.077209349,0.967796083,,,,
TERF1P7,0.62786006,0.534557142,,,,
SNX12,0.286129318,0.056391575,,,,
NANOS3,-0.568496077,0.494226457,,,,
SIRPA,-0.428982218,0.06755507,,,,
CICP16,-0.731366117,0.39297283,,,,
PRPF4,0.375278583,0.062624043,,,,
SFTPD,0.681404937,0.473850186,,,,
ITGB7,-0.084551196,0.957915186,,,,
INPP5J,-0.60643463,0.112688642,,,,
,1.109290363,0.451065987,,,,
HSP90B2P,-0.51692438,0.664534771,,,,
SF1,0.229362036,0.050175629,,,,
SUGT1P3,0.672325167,0.46258505,,,,
,0.789862055,0.66722933,,,,
,-0.635863852,0.398304897,,,,
ALX4,0.840443408,0.471017234,,,,
SLC2A9,-0.135078453,0.907869577,,,,
POP4,0.451427823,0.081248768,,,,
C2orf69,-0.411102171,0.080722246,,,,
KLF2,0.967381372,0.337575686,,,,
USP22,-0.224980264,0.048077903,,,,
LIPI,-0.86230066,0.500146661,,,,
,0.148052684,0.922757318,,,,
OR6J1,0.764556347,0.51070174,,,,
TMEM86B,-0.538396468,0.205747118,,,,
SBK2,0.630999078,0.506674201,,,,
GNAI1,-0.349759942,0.054434765,,,,
ANPEP,0.123107892,0.941410653,,,,
WDR72,0.723573828,0.235718594,,,,
NAALADL1,0.697889291,0.605682571,,,,
DCST2,0.623521207,0.375694554,,,,
TOMM40P4,0.511180118,0.523991307,,,,
H4C5,-0.729191765,0.555634304,,,,
IGFL2,0.802192714,0.374128872,,,,
TMEM71,0.088122954,0.945103226,,,,
LEFTY1,1.008033516,0.568017906,,,,
LIPT2,0.699344588,0.201623857,,,,
LENG9,1.063246285,0.30733136,,,,
,0.568619118,0.677902694,,,,
ZP3,0.717270614,0.638624772,,,,
MLX,0.305076548,0.06884808,,,,
FOXP3,0.628885152,0.425492325,,,,
ADCY10,0.624225774,0.623038755,,,,
ETFRF1,0.34892959,0.108410632,,,,
SHLD3,-0.606345659,0.234340611,,,,
RRP36,0.328384333,0.068328828,,,,
OAZ3,-0.528481734,0.246596748,,,,
,0.856192622,0.448688069,,,,
PEBP4,0.246160698,0.875807731,,,,
DHRS1,0.377292419,0.124262867,,,,
EDDM13,0.671714264,0.61791115,,,,
SH2D6,-0.579744454,0.485527634,,,,
,-0.844067294,0.381771832,,,,
GOLGA6C,-1.259467533,0.388765661,,,,
GJA1,0.836568785,0.055032054,,,,
ACKR4,-0.502590399,0.665722238,,,,
CCDC154,0.659314589,0.377833257,,,,
KDF1,0.65042878,0.624341675,,,,
RNASEH1P1,-0.73830537,0.498459042,,,,
ATRNL1,-0.405422974,0.065190038,,,,
WFDC3,-0.663325781,0.476301232,,,,
ACVRL1,0.80583186,0.462981745,,,,
TMEM121,0.616393661,0.216478957,,,,
NCMAP,0.6043041,0.409542838,,,,
B3GNT3,0.16258476,0.913301573,,,,
FRMPD2,0.816429158,0.392266331,,,,
,-0.63447224,0.376678802,,,,
KYAT3,0.376061347,0.065675444,,,,
UTY,-1.185860094,0.160057675,,,,
RPL7P9,0.824249962,0.513301028,,,,
PRSS22,-1.00E-03,0.999382186,,,,
ANXA8,-0.711113432,0.501788414,,,,
PATL2,0.561936578,0.483278749,,,,
ZNF620,0.391755289,0.11742767,,,,
BMS1P1,0.893799199,0.315049799,,,,
FOXH1,-1.869147302,0.433657763,,,,
,-0.726944481,0.548833176,,,,
RPS7P1,0.793060896,0.358303523,,,,
UPK1A,0.430714702,0.73768691,,,,
FOXA2,-0.078557914,0.949419129,,,,
,0.681292081,0.485173278,,,,
ANKRD24,-0.461109167,0.119109334,,,,
ZNF484,-0.381432173,0.106000095,,,,
HTR2C,1.015746277,0.404364401,,,,
ASCL5,-0.641495463,0.529928344,,,,
RPS15AP10,0.472702381,0.66464761,,,,
AKR7A3,-0.744204029,0.598228969,,,,
TRIM71,-0.398051808,0.065079201,,,,
,-1.020272237,0.437352665,,,,
HSPD1P4,-1.046350133,0.397321126,,,,
DCAF4L1,0.587827027,0.603632757,,,,
VAMP8,1.043227336,0.256247176,,,,
,0.513425839,0.639361253,,,,
SMIM15,0.296472589,0.064136,,,,
NPHP3-ACAD11,-1.927782382,0.19469424,,,,
CCER2,1.711653641,0.535341221,,,,
H2AC11,-0.524058163,0.503228648,,,,
HERC2P9,0.450810272,0.131575519,,,,
RPL5P30,-0.773993168,0.367250075,,,,
AGMAT,0.79577332,0.37426036,,,,
RORC,0.718037149,0.640297061,,,,
USP11,0.420151917,0.051069932,,,,
DGKB,0.493291444,0.160702032,,,,
,-0.544043059,0.717071546,,,,
EEF1A1P9,0.946819812,0.399423988,,,,
TENT2,0.294691582,0.071628194,,,,
RAB3A,-0.456302163,0.065785518,,,,
,-1.413417888,0.747475652,,,,
TMEM40,0.81624629,0.45745005,,,,
TAF7L,0.555225855,0.68934787,,,,
ZSCAN22,-0.423927134,0.14275222,,,,
SLC13A1,-0.139441334,0.928287444,,,,
,-0.52519669,0.262427453,,,,
KRT86,-0.412957313,0.728030421,,,,
BARHL1,-0.211633204,0.87000535,,,,
MRS2,0.375202258,0.060934883,,,,
HES7,-0.806296683,0.25024916,,,,
,-0.561546151,0.46183583,,,,
DHFRP2,-0.635012581,0.308058416,,,,
,-1.370442293,0.576188327,,,,
,-0.470538844,0.766354184,,,,
SOX17,-1.168288377,0.47040408,,,,
RAB11FIP1P1,0.619894504,0.190444755,,,,
RASA4DP,-0.810298094,0.428699678,,,,
ADGRF5,-0.626961982,0.633106245,,,,
TBL1Y,-0.599247435,0.477877317,,,,
ZNF630,-0.597881018,0.268508858,,,,
POF1B,0.651013783,0.546748312,,,,
OSTCP1,0.533374412,0.388597919,,,,
TNFSF12,0.736357425,0.408446968,,,,
,0.762353658,0.238411944,,,,
PKD2L2,0.317150441,0.799697399,,,,
FPGS,0.337934199,0.069844791,,,,
PCGF6,0.3926047,0.104047568,,,,
KRT17,-1.122492165,0.527858,,,,
TPTEP2,0.695043876,0.526300421,,,,
TMEM215,-0.562546053,0.527854227,,,,
APOL3,-0.332041243,0.786243319,,,,
HCST,-0.058521213,0.965409504,,,,
ELOVL5,0.416315225,0.052897517,,,,
ATL1,0.45494276,0.063278942,,,,
ZNF518B,0.306215179,0.064728109,,,,
SMG1P6,0.786995201,0.482584119,,,,
,-0.875939938,0.182925719,,,,
HSD17B7,0.553784878,0.090741117,,,,
LYL1,-0.188392123,0.917726182,,,,
CLTRN,-0.666898201,0.323172128,,,,
KRT8P46,0.84510355,0.478678333,,,,
,-0.495617483,0.256482764,,,,
MOBP,0.677531838,0.519361044,,,,
RPSAP26,0.026866228,0.990203393,,,,
ANKRD37,1.022047324,0.217849419,,,,
,-1.058955106,0.349564253,,,,
PDE6B,0.685403703,0.196739554,,,,
METAP1,0.30748183,0.065126632,,,,
,0.826237268,0.402254391,,,,
DUXAP9,-0.674437432,0.280954485,,,,
CLDND2,0.498504206,0.56859831,,,,
IRAG1,0.575980551,0.201337488,,,,
SVIL,0.56179785,0.057715871,,,,
MMADHC,0.286708238,0.057272151,,,,
TPTE2P1,0.672431056,0.499085037,,,,
ZNF230,0.443133855,0.162000723,,,,
ANKRD33,-0.565866283,0.575123525,,,,
CBFA2T3,-0.549204057,0.117716384,,,,
CLDN2,0.575520176,0.688049296,,,,
FERP1,0.589028547,0.663590036,,,,
RAET1G,0.488441446,0.714363767,,,,
MTFR1,0.308343842,0.074471949,,,,
IGFBP2,0.313668309,0.05156259,,,,
TIMM10,0.421782332,0.096454963,,,,
RAB28P5,-0.667452932,0.352525694,,,,
OLIG3,-0.598804291,0.344415709,,,,
KCNT1,-0.721586977,0.309193446,,,,
HTR2A,0.881290572,0.397251426,,,,
RALGPS2,0.335882542,0.062126007,,,,
AOAH,0.529785225,0.63950156,,,,
SCYL1,0.326908925,0.057959413,,,,
ABTB3,-0.352333045,0.089864013,,,,
C12orf50,-0.727450286,0.422138961,,,,
SNX14,-0.30142323,0.058783405,,,,
EMP1,0.71721709,0.151955879,,,,
ENPP7P8,0.303713906,0.7728893,,,,
KCNE1,0.500866041,0.358696776,,,,
MPRIPP1,-0.555900445,0.605511585,,,,
CTSLP3,-0.416988327,0.722397846,,,,
CHRNA2,-0.754675723,0.537624201,,,,
GEMIN4,0.295221261,0.078439896,,,,
SLC25A4,-0.276224315,0.060668869,,,,
ACP7,0.518266938,0.64406299,,,,
ZNF969P,0.060688676,0.959436956,,,,
EHF,-0.577722036,0.656319209,,,,
SEC14L4,0.194427103,0.887863089,,,,
MAF1,0.317329286,0.061628973,,,,
SH2D2A,0.533326089,0.703401766,,,,
PRXL2A,0.280549951,0.057685726,,,,
RPRML,-0.899724612,0.404890507,,,,
,-0.678557995,0.380464128,,,,
SLC17A4,0.637992139,0.641422768,,,,
LANCL1,0.282763642,0.05470633,,,,
RASGRP4,0.688867284,0.56055191,,,,
ARF6,0.305379475,0.05883909,,,,
ADH6,-0.861850473,0.407087366,,,,
STEEP1,0.407011202,0.086735731,,,,
CLEC2D,0.58927378,0.151530165,,,,
ACSBG2,0.716506796,0.49899236,,,,
C1QTNF9B,0.592305172,0.711720309,,,,
CCNJL,-0.44881115,0.09773223,,,,
CYP2C19,-0.64104445,0.621722921,,,,
C19orf38,0.092823833,0.942887262,,,,
DRICH1,-0.632977423,0.599667447,,,,
SLC30A8,0.251294604,0.881777597,,,,
CCDC116,-0.659702572,0.626700315,,,,
HSD3BP5,-0.677495668,0.602568869,,,,
MDH2,0.258493952,0.054297085,,,,
GTF2IP20,-0.525355307,0.732283148,,,,
ZNF80,0.68531256,0.401069579,,,,
COPS3,0.319905518,0.060536986,,,,
ADM2,-0.720808607,0.133646489,,,,
ZNF385A,-0.443542249,0.079774985,,,,
XNDC1N,0.502090763,0.21887353,,,,
ADM,0.966488393,0.184375089,,,,
,0.458799158,0.68827301,,,,
OSR2,0.342530749,0.793631348,,,,
FAM222B,0.28604809,0.06177243,,,,
PROC,0.60277698,0.577756603,,,,
ADNP,0.249757284,0.05308514,,,,
CBX3P2,-0.572516069,0.273743741,,,,
ODAM,0.570156443,0.789554487,,,,
OLR1,0.087845149,0.95234659,,,,
AGTR1,-0.526073384,0.629889043,,,,
CHST5,-0.714050748,0.300604241,,,,
SYTL3,0.617602555,0.294153288,,,,
PMS2P6,-0.642010814,0.213059337,,,,
,-0.474134621,0.664692224,,,,
SF3A1,0.256219456,0.053974849,,,,
RPL7AP10,0.567130455,0.587396246,,,,
IL17RE,0.596838974,0.379215449,,,,
NCF2,0.621443951,0.561817033,,,,
PET100,0.395097184,0.083847482,,,,
LRRC70,-0.315514633,0.819351938,,,,
ITIH2,-0.65075235,0.606366639,,,,
SLC25A30,0.324697761,0.104763137,,,,
CFAP69,0.592092851,0.17065794,,,,
SLC35E1P1,0.381954498,0.74699538,,,,
PGK1,0.373895047,0.050646808,,,,
ZNF775,0.338592711,0.109636306,,,,
,-0.499224557,0.706092682,,,,
RPL9P29,-0.593187158,0.652071323,,,,
ANO10,0.351172038,0.065476519,,,,
,-1.419249634,0.640276416,,,,
SARDH,0.976332652,0.188991402,,,,
CALB2,-0.515677915,0.263057199,,,,
TNFRSF10A,-0.635534966,0.545054497,,,,
